#_i    eigenvalues            v_0            v_1            v_2
0       1.294697   9.576334e-01  -2.726748e-01  -9.266414e-02
1       3.552662   2.496659e-01   9.464259e-01  -2.048048e-01
2       5.652641   1.435449e-01   1.729929e-01   9.744067e-01
