            # z              n
              1              2
              2              4
              3              6
              4              8
              5             10
              6             12
              7             14
              8             16
              9             18
             10             20
             11             22
             12             25
             13             27
             14             29
             15             31
             16             33
             17             35
             18             38
             19             40
             20             42
             21             44
             22             47
             23             49
             24             51
             25             54
             26             56
             27             58
             28             61
             29             63
             30             65
             31             68
             32             70
             33             72
             34             75
             35             77
             36             79
             37             82
             38             84
             39             87
             40             89
             41             91
             42             94
             43             96
             44             99
             45            101
             46            104
             47            106
             48            108
             49            111
             50            113
             51            116
             52            118
             53            121
             54            123
             55            126
             56            128
             57            131
             58            133
             59            136
             60            138
             61            141
             62            143
             63            146
             64            148
             65            151
             66            153
             67            156
             68            158
             69            161
             70            163
             71            166
             72            168
             73            171
             74            174
             75            176
             76            179
             77            181
             78            184
             79            186
             80            189
             81            192
             82            194
             83            197
             84            199
             85            202
             86            205
             87            207
             88            210
             89            212
             90            215
             91            218
             92            220
             93            223
             94            226
             95            228
             96            231
             97            233
             98            236
             99            239
            100            241
            101            244
            102            247
            103            249
            104            252
            105            255
            106            257
            107            260
            108            263
            109            265
            110            268
            111            271
            112            273
            113            276
            114            279
            115            281
            116            284
            117            287
            118            290
            119            292
            120            295
