# z       n       a         bedata          beldv       beldv+sa     beldv+sa+c       beldfull          error        sn_data  sn_liquiddrop          error
  1       1    2.00      1.1123000      15.490000      1.8145399      1.5450786      1.5450786     0.43277861
  1       2    3.00      2.8272667      15.490000      3.5433852      3.3864545     0.87534336      1.9519233
  1       3    4.00      1.7204500      15.490000      4.6357802      4.5288444     -1.1211556      2.8416056
  1       4    5.00      1.3363600      15.490000      5.4138349      5.3344186     -2.8015814      4.1379414
  1       5    6.00     0.96163333      15.490000      6.0079656      5.9456876     -4.0987569      5.0603902
  1       6    7.00      1.1116857      15.490000      6.4828804      6.4321729     -5.0984394      6.2101251
  2       1    3.00      2.5726667      15.490000      3.5433852      2.9156622     0.40455106      2.1681156
  2       2    4.00      7.0739250      15.490000      4.6357802      4.2080370      4.2080370      2.8658880
  2       3    5.00      5.5121400      15.490000      5.4138349      5.0961696      4.1921696      1.3199704
  2       4    6.00      4.8784000      15.490000      6.0079656      5.7588535      3.2477424      1.6306576
  2       5    7.00      4.1239143      15.490000      6.4828804      6.2800503      2.1290299      1.9948844
  2       6    8.00      3.9245250      15.490000      6.8750000      6.7052500      1.0552500      2.8692750
  2       7    9.00      3.4773556      15.490000      7.2066800      7.0616003    0.086291702      3.3910639
  2       8    10.0      3.0338600      15.490000      7.4925424      7.3664769    -0.76952311      3.8033831
  3       1    4.00      1.1537500      15.490000      4.6357802      3.6733580     -1.9766420      3.1303920
  3       2    5.00      5.2661400      15.490000      5.4138349      4.6990880      3.7950880      1.4710520
  3       3    6.00      5.3323333      15.490000      6.0079656      5.4474634      5.4474634     0.11513010
  3       4    7.00      5.6064429      15.490000      6.4828804      6.0265127      5.5652882    0.041154671
  3       5    8.00      5.1597125      15.490000      6.8750000      6.4930625      5.0805625    0.079150000
  3       6    9.00      5.0377667      15.490000      7.2066800      6.8802508      4.3691397     0.66862696
  3       7    10.0      4.5313500      15.490000      7.4925424      7.2088949      3.5928949     0.93845505
  3       8    11.0      4.1553636      15.490000      7.7426285      7.4928306      2.8234091      1.3319545
  3       9    12.0      3.7990833      15.490000      7.9641043      7.7416689      2.0916689      1.7074145
  3      10    13.0      3.4030000      15.490000      8.1622469      7.9623277      1.4096650      1.9933350
  4       2    6.00      4.4872500      15.490000      6.0079656      5.0115173      2.5004062      1.9868438
  4       3    7.00      5.3715429      15.490000      6.4828804      5.6715600      5.2103355     0.16120732
  4       4    8.00      7.0624375      15.490000      6.8750000      6.1960000      6.1960000     0.86643750
  4       5    9.00      6.4626667      15.490000      7.2066800      6.6263615      6.3473491     0.11531754
  4       6    10.0      6.4976300      15.490000      7.4925424      6.9882802      6.0842802     0.41334977
  4       7    11.0      5.9525364      15.490000      7.7426285      7.2985434      5.6175517     0.33498469
  4       8    12.0      5.7208167      15.490000      7.9641043      7.5686635      5.0575524     0.66326424
  4       9    13.0      5.2761385      15.490000      8.1622469      7.8068350      4.4636398     0.81249870
  4      10    14.0      4.9939000      15.490000      8.3410444      8.0190717      3.8680513      1.1258487
  5       2    7.00      3.5309714      15.490000      6.4828804      5.2151923      1.0641719      2.4667995
  5       3    8.00      4.7171500      15.490000      6.8750000      5.8140625      4.4015625     0.31558750
  5       4    9.00      6.2570667      15.490000      7.2066800      6.2999323      6.0209200     0.23614669
  5       5    10.0      6.4750700      15.490000      7.4925424      6.7046327      6.7046327     0.22956274
  5       6    11.0      6.9277091      15.490000      7.7426285      7.0487456      6.8619687    0.065740392
  5       7    12.0      6.6312667      15.490000      7.9641043      7.3462281      6.7184503    0.087183669
  5       8    13.0      6.4964000      15.490000      8.1622469      7.6069158      6.4033655    0.093034455
  5       9    14.0      6.1016429      15.490000      8.3410444      7.8379621      5.9930641     0.10857874
  5      10    15.0      5.8796000      15.490000      8.5035773      8.0447090      5.5335978     0.34600215
  5      11    16.0      5.5068125      15.490000      8.6522700      8.2312366      5.0531116     0.45370086
